#{"t_start": 1753906013.745462, "env_id": "None"}
r,l,t
571.057162,50,315.695739
561.987719,50,315.800738
660.754175,50,315.891742
476.566837,50,315.989736
305.993176,50,316.086734
713.118857,50,316.181737
377.528322,50,316.283734
638.645312,50,316.381733
328.379646,50,316.468735
654.506732,50,316.558737
502.750698,50,316.656734
424.527657,50,316.774737
406.70493,50,316.928735
541.190319,50,317.074735
274.930348,50,317.168733
589.048024,50,317.258734
381.23387,50,317.354737
388.140959,50,317.452735
539.735939,50,317.544733
302.167182,50,317.634736
622.748574,50,317.730741
407.353146,50,317.822738
368.519869,50,317.916734
436.393062,50,318.009737
364.287884,50,318.105735
476.665577,50,318.600734
245.435072,50,318.702735
602.788155,50,318.802733
575.856629,50,318.889735
658.546379,50,318.995736
568.219513,50,319.095735
445.600929,50,319.187735
538.545016,50,319.274734
711.801546,50,319.372735
440.968383,50,319.467734
292.587621,50,319.596736
290.28657,50,319.698735
415.985395,50,319.787737
196.333937,50,319.880733
262.973818,50,319.975735
468.542019,50,323.095735
440.204448,50,323.181744
657.671493,50,323.282738
520.316843,50,323.372737
379.565893,50,323.470735
539.918749,50,323.563741
700.666986,50,323.656733
531.486241,50,323.762737
317.667824,50,323.859738
953.365629,50,323.967732
171.323373,50,324.054737
455.518346,50,324.142735
670.706057,50,324.241736
369.686998,50,324.336731
711.381856,50,324.429736
644.669736,50,324.524736
599.514545,50,324.614743
290.544483,50,324.718742
451.272743,50,324.807734
425.073355,50,324.901733
480.264438,50,325.021739
606.144396,50,325.120736
687.647901,50,325.224736
318.134848,50,325.316735
420.913225,50,325.406735
554.150241,50,325.497735
420.664132,50,325.59074
236.117226,50,325.677742
374.616057,50,325.769741
473.701571,50,325.880734
423.397352,50,325.980735
533.994812,50,326.072739
553.583646,50,326.163738
679.840616,50,326.259742
655.25345,50,326.358734
370.770689,50,326.448735
739.346594,50,326.542733
455.244021,50,326.649734
790.762204,50,326.742264
701.917073,50,326.833266
371.730699,50,326.929265
626.088344,50,330.055854
492.933684,50,330.154854
225.059759,50,330.245857
601.522022,50,330.342858
615.23078,50,330.430861
613.318123,50,330.521863
384.387743,50,330.620854
457.771876,50,330.715856
442.147293,50,330.805856
723.24997,50,330.894862
612.660547,50,330.987884
416.35031,50,331.090856
470.633637,50,331.190853
641.63374,50,331.295856
315.320689,50,331.398859
550.122916,50,331.495857
